"","categories","freq"
"6","business",96
"21","new york",83
"22","region",83
"11","opinion",48
"4","arts",46
"27","paid death notices",40
"1","u.s.",39
"3","sports",39
"2","world",38
"9","style",32
"20","corrections",23
"8","health",22
"13","washington",16
"18","books",16
"12","front page",13
"17","science",13
"23","technology",13
"24","education",12
"10","magazine",11
"26","obituaries",11
"14","home",9
"15","garden",9
"25","movies",8
"5","real estate",4
"7","theater",4
"16","week in review",4
"19","travel",3
"28","dining",3
"29","wine",3
"30","automobiles",1
