"","category","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1","u.s.",0.117875162369231,0.111833997042593,0.0780137514623019,0.0676669429429518,0.118194388717679,0.0763702317791606,0.0690356595664349,0.123306180004791,0.0639887565427577,0.0477973262651006,0.0606295002824598,0.107834289855812,0.105679276759979,0.0742262046571186,0.0742262046571186,0.0796379477763365,0.0990417904336844,0.0795212144572285,0.0903126114019617,0.0301532110748063,0.0921795724940639,0.0921795724940639,0.0884310683442452,0.134042669614901,0.0780412350296796,0.0832402909873909,0.0226352810517531,0.029556452673069,0.029556452673069,0.101612579513896
"2","world",0.111833997042593,0.137239527770708,0.0783234179875887,0.068586367116996,0.114064941827442,0.0708484100369233,0.0707374224942619,0.111213944766852,0.05462246548151,0.0497017351564644,0.0616515743787727,0.117692780737984,0.126755029595866,0.0741435531642006,0.0741435531642006,0.095497749821038,0.0969019662024947,0.0827474432721957,0.0994749194472695,0.0286450320243085,0.0884333709331478,0.0884333709331478,0.0837933696716626,0.112203808906884,0.0781875529286044,0.0711590449033947,0.0205291195504435,0.0306404968191146,0.0306404968191146,0.0996799382694946
"3","sports",0.0780137514623019,0.0783234179875887,0.119127791618412,0.0692588383963658,0.081985259071757,0.0554421436499399,0.0866781436638228,0.0861354554223987,0.053995748361258,0.0491195394933058,0.0523239181753684,0.07298865095932,0.0683960213455473,0.0758477763100468,0.0758477763100468,0.0662898720581189,0.0829239842990222,0.0726273141050945,0.0974724365155176,0.0248004907698182,0.0727793228488392,0.0727793228488392,0.0710582054065284,0.0878517727629811,0.0721565167576812,0.0589494996926623,0.0244000174515398,0.0409166724394883,0.0409166724394883,0.0781932433696341
"4","arts",0.0676669429429518,0.068586367116996,0.0692588383963658,0.0958153512633546,0.0794306533566044,0.048601275640358,0.137523071577319,0.0825267368260382,0.0666320872446853,0.0562935151197989,0.0604848027336955,0.0727146342537291,0.0647565572134877,0.0877149114388386,0.0877149114388386,0.0670223113506387,0.0818470467582804,0.110202635227817,0.0994945220638525,0.0228058871423748,0.0689350246799965,0.0689350246799965,0.0725981472705094,0.0795199174550439,0.112207256879971,0.0710860078974031,0.0299761004327678,0.0435392007030203,0.0435392007030203,0.0787894562081873
"5","real estate",0.118194388717679,0.114064941827443,0.081985259071757,0.0794306533566044,0.202133960492769,0.0825195856257165,0.0701071057832058,0.144656852895291,0.0816474855027036,0.0528443711883575,0.0665411234862769,0.107635877049755,0.105388618382098,0.116724075884902,0.116724075884902,0.0946231045604255,0.114480481243746,0.0872776631222619,0.152075000189278,0.0303820406443275,0.10715703368306,0.10715703368306,0.101181411178124,0.171008896760609,0.0827995083604189,0.0794848755567446,0.0235289686334723,0.0352554976833357,0.0352554976833357,0.127533684478666
"6","business",0.0763702317791605,0.0708484100369234,0.05544214364994,0.0486012756403579,0.0825195856257165,0.141950057430673,0.0509261551087524,0.0833795056575406,0.0525541095016078,0.0304622311110281,0.0452374112683867,0.0630962011824731,0.0628423852197987,0.0542980717050255,0.0542980717050255,0.0503120988405927,0.0719278076466733,0.055219916078291,0.0698082716539,0.0211143800543445,0.0619079644670625,0.0619079644670625,0.0963750302821915,0.0977036920333419,0.049609033666281,0.0513061042555856,0.0153217205914392,0.0207312441072422,0.0207312441072422,0.0762832433011753
"7","theater",0.0690356595664349,0.0707374224942619,0.0866781436638229,0.137523071577319,0.0701071057832058,0.0509261551087525,0.205222947475154,0.0892170775493276,0.0729265325142395,0.0680155064288702,0.0677806212847751,0.0811858417675439,0.0657415999183371,0.0899036850584444,0.0899036850584444,0.0722271776300493,0.0893437260385309,0.107899761493593,0.108408449534066,0.022182207161671,0.0710871956518804,0.0710871956518804,0.0731723233028656,0.069987177431479,0.128045433051714,0.0786883081424593,0.0318994195529299,0.0507439102725181,0.0507439102725181,0.0865023773984347
"8","health",0.123306180004791,0.111213944766852,0.0861354554223987,0.0825267368260383,0.144656852895291,0.0833795056575405,0.0892170775493276,0.142623988884063,0.0744270797260099,0.0582627493312449,0.069571156523166,0.105926242038805,0.10282314271546,0.0951893244583792,0.0951893244583792,0.0844205548010176,0.162402328591846,0.0939750957050006,0.118109440535832,0.028574496593853,0.0982719413153384,0.0982719413153384,0.113657008240394,0.143347119720195,0.0881616676126405,0.0791768112188452,0.0254105624522662,0.0456507158120741,0.0456507158120741,0.139708338431799
"9","style",0.0639887565427578,0.05462246548151,0.0539957483612579,0.0666320872446853,0.0816474855027036,0.0525541095016077,0.0729265325142395,0.07442707972601,0.0957605053151107,0.0429237654137881,0.0498168285499795,0.0590232450529361,0.0525756360533273,0.0990096891208856,0.0990096891208856,0.043784916077284,0.0686246498105376,0.066605661389574,0.0849362046857301,0.0225194795723194,0.0625651815348611,0.0625651815348611,0.0697876899361258,0.0889608210173082,0.0636974124350997,0.0772797348658428,0.0367710111422946,0.0726867841259411,0.0726867841259411,0.0697758933604079
"10","magazine",0.0477973262651005,0.0497017351564644,0.0491195394933058,0.0562935151197989,0.0528443711883576,0.0304622311110281,0.0680155064288702,0.0582627493312449,0.0429237654137881,0.0458893065992523,0.0545034295325427,0.0492662316219766,0.0600800526795459,0.0610728740810524,0.0610728740810524,0.0549959513485128,0.0583651650137825,0.0632119068615008,0.105241555326823,0.0261870987596033,0.0499533129576176,0.0499533129576176,0.0474024615266545,0.0688929256157178,0.0588096924733953,0.0423190257482357,0.0203951196608112,0.0403133141294048,0.0403133141294048,0.0641313059917545
