"","id","category"
"1",1,"u.s."
"2",2,"world"
"3",3,"sports"
"4",4,"arts"
"5",5,"real estate"
"6",6,"business"
"7",7,"arts"
"8",7,"theater"
"9",8,"health"
"10",8,"style"
"11",9,"business"
"12",10,"sports"
"13",11,"magazine"
"14",12,"sports"
"15",12,"opinion"
"16",13,"business"
"17",14,"business"
"18",15,"u.s."
"19",16,"world"
"20",16,"front page"
"21",16,"washington"
"22",17,"arts"
"23",18,"business"
"24",19,"world"
"25",20,"business"
"26",21,"business"
"27",22,"business"
"28",23,"opinion"
"29",24,"business"
"30",25,"business"
"31",26,"sports"
"32",27,"magazine"
"33",27,"washington"
"34",27,"opinion"
"35",28,"world"
"36",29,"u.s."
"37",30,"home"
"38",30,"garden"
"39",30,"style"
"40",31,"week in review"
"41",32,"science"
"42",32,"health"
"43",33,"arts"
"44",33,"books"
"45",34,"opinion"
"46",35,"business"
"47",36,"travel"
"48",37,"arts"
"49",38,"business"
"50",39,"world"
"51",40,"world"
"52",41,"business"
"53",42,"sports"
"54",43,"corrections"
"55",43,"washington"
"56",43,"new york"
"57",43,"region"
"58",44,"business"
"59",45,"business"
"60",46,"sports"
"61",46,"opinion"
"62",47,"technology"
"63",47,"science"
"64",47,"health"
"65",48,"new york"
"66",48,"region"
"67",49,"business"
"68",50,"business"
"69",51,"style"
"70",52,"style"
"71",53,"business"
"72",54,"world"
"73",54,"front page"
"74",55,"arts"
"75",55,"books"
"76",56,"style"
"77",57,"new york"
"78",57,"region"
"79",58,"corrections"
"80",58,"new york"
"81",58,"region"
"82",59,"education"
"83",59,"u.s."
"84",60,"business"
"85",61,"sports"
"86",62,"business"
"87",63,"u.s."
"88",64,"sports"
"89",65,"world"
"90",65,"washington"
"91",66,"sports"
"92",67,"arts"
"93",67,"books"
"94",68,"business"
"95",69,"business"
"96",70,"world"
"97",71,"world"
"98",72,"style"
"99",73,"sports"
"100",74,"world"
"101",74,"washington"
"102",75,"arts"
"103",76,"business"
"104",77,"new york"
"105",77,"region"
"106",78,"real estate"
"107",79,"world"
"108",80,"business"
"109",81,"new york"
"110",81,"region"
"111",82,"business"
"112",83,"arts"
"113",84,"u.s."
"114",85,"movies"
"115",85,"arts"
"116",86,"world"
"117",87,"opinion"
"118",88,"business"
"119",89,"sports"
"120",90,"business"
"121",91,"business"
"122",92,"business"
"123",93,"world"
"124",94,"business"
"125",95,"sports"
"126",96,"travel"
"127",97,"u.s."
"128",98,"u.s."
"129",99,"sports"
"130",100,"corrections"
"131",100,"new york"
"132",100,"region"
"133",101,"style"
"134",102,"new york"
"135",102,"region"
"136",103,"arts"
"137",103,"books"
"138",104,"sports"
"139",105,"arts"
"140",106,"new york"
"141",106,"region"
"142",107,"opinion"
"143",108,"new york"
"144",108,"region"
"145",109,"business"
"146",110,"style"
"147",111,"obituaries"
"148",112,"world"
"149",113,"front page"
"150",113,"u.s."
"151",114,"u.s."
"152",115,"corrections"
"153",115,"new york"
"154",115,"region"
"155",116,"style"
"156",117,"business"
"157",118,"sports"
"158",119,"world"
"159",120,"health"
"160",120,"business"
"161",121,"sports"
"162",122,"u.s."
"163",123,"movies"
"164",123,"u.s."
"165",124,"front page"
"166",124,"new york"
"167",124,"region"
"168",125,"business"
"169",126,"new york"
"170",126,"region"
"171",127,"opinion"
"172",128,"business"
"173",129,"sports"
"174",130,"world"
"175",130,"front page"
"176",131,"opinion"
"177",132,"new york"
"178",132,"region"
"179",133,"u.s."
"180",133,"obituaries"
"181",135,"world"
"182",135,"front page"
"183",136,"business"
"184",137,"business"
"185",139,"sports"
"186",140,"business"
"187",142,"corrections"
"188",142,"new york"
"189",142,"region"
"190",143,"opinion"
"191",145,"new york"
"192",145,"region"
"193",146,"front page"
"194",146,"books"
"195",147,"u.s."
"196",148,"magazine"
"197",148,"opinion"
"198",149,"business"
"199",150,"arts"
"200",151,"opinion"
"201",152,"opinion"
"202",153,"new york"
"203",153,"region"
"204",154,"business"
"205",155,"new york"
"206",155,"region"
"207",156,"business"
"208",157,"business"
"209",158,"magazine"
"210",158,"opinion"
"211",159,"home"
"212",159,"garden"
"213",159,"style"
"214",160,"business"
"215",161,"business"
"216",162,"arts"
"217",162,"books"
"218",163,"style"
"219",165,"business"
"220",166,"new york"
"221",166,"region"
"222",167,"movies"
"223",167,"arts"
"224",168,"technology"
"225",168,"business"
"226",169,"business"
"227",170,"opinion"
"228",171,"world"
"229",172,"business"
"230",173,"opinion"
"231",174,"arts"
"232",175,"sports"
"233",176,"science"
"234",176,"health"
"235",177,"sports"
"236",178,"new york"
"237",178,"region"
"238",179,"science"
"239",179,"health"
"240",180,"business"
"241",181,"corrections"
"242",181,"new york"
"243",181,"region"
"244",182,"arts"
"245",183,"business"
"246",184,"business"
"247",185,"corrections"
"248",185,"new york"
"249",185,"region"
"250",186,"education"
"251",186,"new york"
"252",186,"region"
"253",187,"magazine"
"254",188,"style"
"255",189,"opinion"
"256",190,"sports"
"257",191,"business"
"258",192,"sports"
"259",193,"corrections"
"260",193,"washington"
"261",193,"new york"
"262",193,"region"
"263",195,"business"
"264",196,"business"
"265",197,"health"
"266",197,"u.s."
"267",198,"world"
"268",199,"u.s."
"269",200,"arts"
"270",201,"home"
"271",201,"garden"
"272",201,"style"
"273",202,"opinion"
"274",203,"technology"
"275",203,"science"
"276",203,"health"
"277",204,"business"
"278",205,"travel"
"279",205,"magazine"
"280",207,"style"
"281",208,"new york"
"282",208,"region"
"283",209,"arts"
"284",209,"books"
"285",210,"corrections"
"286",210,"books"
"287",210,"new york"
"288",210,"region"
"289",211,"business"
"290",212,"opinion"
"291",213,"home"
"292",213,"garden"
"293",214,"u.s."
"294",214,"obituaries"
"295",215,"business"
"296",216,"obituaries"
"297",217,"obituaries"
"298",218,"business"
"299",219,"business"
"300",220,"business"
"301",221,"business"
"302",222,"front page"
"303",222,"new york"
"304",222,"region"
"305",223,"arts"
"306",224,"world"
"307",225,"world"
"308",226,"magazine"
"309",227,"u.s."
"310",227,"washington"
"311",228,"new york"
"312",228,"region"
"313",229,"sports"
"314",230,"u.s."
"315",231,"science"
"316",231,"health"
"317",232,"new york"
"318",232,"region"
"319",233,"world"
"320",234,"world"
"321",235,"front page"
"322",235,"u.s."
"323",236,"opinion"
"324",237,"arts"
"325",237,"books"
"326",238,"business"
"327",239,"corrections"
"328",239,"new york"
"329",239,"region"
"330",240,"sports"
"331",241,"opinion"
"332",242,"corrections"
"333",242,"new york"
"334",242,"region"
"335",244,"u.s."
"336",245,"new york"
"337",245,"region"
"338",246,"paid death notices"
"339",247,"corrections"
"340",247,"new york"
"341",247,"region"
"342",248,"home"
"343",248,"garden"
"344",248,"style"
"345",250,"new york"
"346",250,"region"
"347",251,"sports"
"348",252,"opinion"
"349",253,"u.s."
"350",254,"paid death notices"
"351",255,"education"
"352",255,"u.s."
"353",256,"new york"
"354",256,"region"
"355",257,"business"
"356",258,"arts"
"357",258,"books"
"358",259,"technology"
"359",259,"science"
"360",259,"health"
"361",260,"arts"
"362",260,"obituaries"
"363",261,"new york"
"364",261,"region"
"365",262,"paid death notices"
"366",263,"paid death notices"
"367",264,"style"
"368",265,"new york"
"369",265,"region"
"370",266,"opinion"
"371",268,"arts"
"372",269,"movies"
"373",269,"arts"
"374",270,"u.s."
"375",271,"opinion"
"376",272,"sports"
"377",273,"opinion"
"378",274,"paid death notices"
"379",275,"u.s."
"380",275,"obituaries"
"381",276,"corrections"
"382",276,"week in review"
"383",277,"corrections"
"384",277,"magazine"
"385",278,"opinion"
"386",279,"dining"
"387",279,"wine"
"388",279,"style"
"389",280,"paid death notices"
"390",281,"business"
"391",282,"business"
"392",283,"opinion"
"393",284,"style"
"394",285,"new york"
"395",285,"region"
"396",286,"corrections"
"397",286,"new york"
"398",286,"region"
"399",287,"business"
"400",288,"style"
"401",289,"sports"
"402",290,"front page"
"403",290,"u.s."
"404",291,"paid death notices"
"405",292,"movies"
"406",292,"week in review"
"407",293,"opinion"
"408",294,"sports"
"409",295,"world"
"410",295,"washington"
"411",296,"science"
"412",296,"health"
"413",297,"opinion"
"414",298,"sports"
"415",299,"paid death notices"
"416",300,"paid death notices"
"417",301,"paid death notices"
"418",302,"opinion"
"419",303,"education"
"420",303,"new york"
"421",303,"region"
"422",304,"style"
"423",305,"dining"
"424",305,"wine"
"425",305,"style"
"426",306,"arts"
"427",307,"new york"
"428",307,"region"
"429",308,"world"
"430",309,"corrections"
"431",309,"new york"
"432",309,"region"
"433",310,"paid death notices"
"434",311,"paid death notices"
"435",312,"paid death notices"
"436",313,"u.s."
"437",314,"business"
"438",315,"paid death notices"
"439",316,"arts"
"440",316,"theater"
"441",317,"new york"
"442",317,"region"
"443",318,"business"
"444",319,"sports"
"445",320,"new york"
"446",320,"region"
"447",321,"style"
"448",322,"paid death notices"
"449",323,"sports"
"450",324,"business"
"451",325,"paid death notices"
"452",326,"obituaries"
"453",326,"new york"
"454",326,"region"
"455",327,"world"
"456",327,"health"
"457",328,"new york"
"458",328,"region"
"459",329,"paid death notices"
"460",330,"style"
"461",331,"technology"
"462",331,"education"
"463",331,"business"
"464",332,"new york"
"465",332,"region"
"466",333,"technology"
"467",333,"new york"
"468",333,"region"
"469",334,"paid death notices"
"470",335,"new york"
"471",335,"region"
"472",336,"corrections"
"473",336,"new york"
"474",336,"region"
"475",337,"arts"
"476",337,"opinion"
"477",338,"home"
"478",338,"garden"
"479",338,"style"
"480",339,"sports"
"481",340,"arts"
"482",340,"books"
"483",341,"technology"
"484",341,"business"
"485",341,"opinion"
"486",342,"arts"
"487",343,"health"
"488",343,"u.s."
"489",344,"paid death notices"
"490",345,"u.s."
"491",346,"new york"
"492",346,"region"
"493",347,"opinion"
"494",348,"business"
"495",349,"corrections"
"496",349,"business"
"497",350,"technology"
"498",350,"business"
"499",351,"technology"
"500",351,"education"
"501",351,"business"
"502",352,"new york"
"503",352,"region"
"504",353,"front page"
"505",353,"new york"
"506",353,"region"
"507",354,"paid death notices"
"508",355,"opinion"
"509",356,"new york"
"510",356,"region"
"511",357,"education"
"512",357,"magazine"
"513",358,"opinion"
"514",359,"world"
"515",360,"science"
"516",360,"health"
"517",361,"sports"
"518",362,"paid death notices"
"519",363,"sports"
"520",364,"new york"
"521",364,"region"
"522",365,"magazine"
"523",365,"opinion"
"524",366,"paid death notices"
