"","x"
"1",0
"2",1
"3",1
"4",1
"5",2
"6",2
"7",2
"8",2
"9",2
"10",2
"11",3
"12",4
"13",4
"14",4
"15",5
"16",5
"17",6
"18",6
"19",7
"20",7
"21",7
"22",7
"23",7
"24",8
"25",8
"26",8
"27",9
"28",9
"29",9
"30",9
"31",9
"32",11
"33",11
"34",11
"35",12
"36",13
"37",13
"38",14
"39",16
"40",16
"41",16
"42",16
"43",17
"44",17
"45",18
"46",18
"47",19
"48",19
"49",19
"50",19
"51",19
"52",19
"53",20
"54",20
"55",20
"56",22
"57",23
"58",24
"59",24
"60",25
"61",25
"62",26
"63",26
"64",27
"65",27
"66",27
"67",27
"68",27
"69",28
"70",28
"71",28
"72",29
"73",30
"74",30
"75",30
"76",31
"77",31
"78",32
"79",32
"80",33
"81",33
"82",34
"83",34
"84",35
"85",35
"86",36
"87",36
"88",36
"89",37
"90",37
"91",37
"92",37
"93",38
"94",39
"95",40
"96",40
"97",41
"98",43
"99",43
"100",44
"101",44
"102",45
"103",45
"104",45
"105",45
"106",46
"107",46
"108",48
"109",49
"110",50
"111",50
"112",50
"113",51
"114",51
"115",51
"116",52
"117",52
"118",52
"119",52
"120",53
"121",53
"122",54
"123",54
"124",55
"125",55
"126",56
"127",58
"128",58
"129",58
"130",58
"131",59
"132",61
"133",61
"134",61
"135",62
"136",62
"137",62
"138",62
"139",63
"140",63
"141",64
"142",65
"143",68
"144",68
"145",68
"146",69
"147",69
"148",69
"149",70
"150",71
"151",72
"152",72
"153",72
"154",73
"155",73
"156",74
"157",75
"158",75
"159",76
"160",76
"161",76
"162",77
"163",78
"164",78
"165",78
"166",79
"167",80
"168",80
"169",81
"170",81
"171",82
"172",82
"173",82
"174",83
"175",83
"176",85
"177",85
"178",85
"179",86
"180",86
"181",87
"182",88
"183",88
"184",88
"185",89
"186",89
"187",90
"188",90
"189",90
"190",91
"191",92
"192",93
"193",93
"194",93
"195",94
"196",95
"197",95
"198",95
"199",95
"200",96
"201",97
"202",99
"203",99
"204",100
"205",100
"206",100
"207",101
"208",102
"209",103
"210",103
"211",103
"212",104
"213",105
"214",105
"215",105
"216",105
"217",105
"218",105
"219",105
"220",107
"221",107
"222",110
"223",110
"224",110
"225",111
"226",112
"227",112
"228",112
"229",114
"230",114
"231",114
"232",114
"233",114
"234",115
"235",115
"236",116
"237",116
"238",117
"239",120
"240",120
"241",121
"242",121
"243",121
"244",122
"245",122
"246",122
"247",123
"248",124
"249",124
"250",124
"251",125
"252",125
"253",125
"254",125
"255",126
"256",127
"257",127
"258",129
"259",130
"260",130
"261",130
"262",131
"263",132
"264",132
"265",133
"266",133
"267",134
"268",134
"269",135
"270",136
"271",136
"272",137
"273",137
"274",137
"275",137
"276",138
"277",139
"278",139
"279",139
"280",140
"281",140
"282",142
"283",143
"284",144
"285",144
"286",144
"287",144
"288",145
"289",145
"290",145
"291",145
"292",146
"293",147
"294",147
"295",147
"296",147
"297",147
"298",148
"299",148
"300",149
"301",149
"302",150
"303",150
"304",151
"305",151
"306",151
"307",152
"308",152
"309",153
"310",153
"311",155
"312",156
"313",156
"314",156
"315",156
"316",157
"317",157
"318",158
"319",158
"320",158
"321",158
"322",159
"323",160
"324",160
"325",160
"326",161
"327",162
"328",162
"329",162
"330",162
"331",163
"332",164
"333",164
"334",164
"335",165
"336",165
"337",165
"338",165
"339",165
"340",167
"341",167
"342",167
"343",167
"344",168
"345",168
"346",168
"347",169
"348",169
"349",169
"350",170
"351",171
"352",171
"353",172
"354",172
"355",172
"356",174
"357",174
"358",174
"359",174
"360",174
"361",176
"362",176
"363",176
"364",177
"365",178
"366",178
"367",178
"368",179
"369",179
"370",179
"371",180
"372",180
"373",181
"374",181
"375",181
"376",181
"377",182
"378",182
"379",182
"380",183
"381",183
"382",184
"383",184
"384",184
"385",185
"386",186
"387",187
"388",187
"389",187
"390",188
"391",188
"392",188
"393",188
"394",189
"395",189
"396",189
"397",191
"398",191
"399",193
"400",194
"401",194
"402",195
"403",195
"404",196
"405",198
"406",198
"407",198
"408",198
"409",199
"410",199
"411",200
"412",200
"413",200
"414",201
"415",202
"416",202
"417",203
"418",203
"419",204
"420",206
"421",207
"422",208
"423",208
"424",208
"425",209
"426",209
"427",209
"428",210
"429",211
"430",212
"431",212
"432",212
"433",213
"434",213
"435",213
"436",213
"437",214
"438",215
"439",215
"440",215
"441",215
"442",215
"443",216
"444",218
"445",218
"446",218
"447",219
"448",219
"449",220
"450",220
"451",220
"452",221
"453",221
"454",222
"455",223
"456",224
"457",224
"458",225
"459",225
"460",225
"461",225
"462",225
"463",226
"464",226
"465",227
"466",227
"467",228
"468",228
"469",229
"470",230
"471",230
"472",230
"473",232
"474",232
"475",232
"476",232
"477",232
"478",232
"479",234
"480",234
"481",235
"482",236
"483",236
"484",237
"485",237
"486",239
"487",239
"488",239
"489",240
"490",240
"491",240
"492",240
"493",242
"494",243
"495",243
"496",243
"497",243
"498",243
"499",245
"500",245
