"","x"
"1",3
"2",4
"3",5
"4",3
"5",7
"6",9
"7",5
"8",5
"9",5
"10",4
"11",3
"12",7
"13",4
"14",5
"15",6
"16",13
"17",7
"18",6
"19",8
"20",5
"21",7
"22",6
"23",8
"24",4
"25",6
"26",5
"27",5
"28",7
"29",6
"30",5
"31",5
"32",5
"33",4
"34",6
"35",9
"36",6
"37",4
"38",4
"39",7
"40",5
"41",7
"42",5
"43",5
"44",6
"45",6
"46",9
"47",9
"48",8
"49",11
"50",7
"51",6
"52",7
"53",7
"54",7
"55",6
"56",8
"57",4
"58",7
"59",5
"60",4
"61",6
"62",4
"63",3
"64",4
"65",4
"66",6
"67",6
"68",5
"69",8
"70",8
"71",6
"72",8
"73",5
"74",6
"75",7
"76",6
"77",4
"78",4
"79",5
"80",4
"81",4
"82",9
"83",5
"84",6
"85",6
"86",6
"87",9
"88",6
"89",8
"90",3
"91",6
"92",5
"93",5
"94",7
"95",6
"96",6
"97",6
"98",4
"99",4
"100",4
"101",3
"102",5
"103",4
"104",7
"105",5
"106",4
"107",4
"108",4
"109",6
"110",6
"111",6
"112",7
"113",7
"114",4
"115",4
"116",5
"117",5
"118",3
"119",6
"120",4
"121",7
"122",5
"123",4
"124",4
"125",4
"126",6
"127",3
"128",4
"129",7
"130",5
"131",4
"132",6
"133",5
"134",6
"135",6
"136",9
"137",8
"138",5
"139",9
"140",6
"141",4
"142",3
"143",4
"144",3
"145",6
"146",3
"147",4
"148",7
"149",4
"150",4
"151",5
"152",4
"153",4
"154",6
"155",7
"156",6
"157",6
"158",4
"159",4
"160",6
"161",5
"162",4
"163",5
"164",9
"165",7
"166",4
"167",4
"168",3
"169",4
"170",4
"171",9
"172",6
"173",6
"174",9
"175",4
"176",4
"177",7
"178",6
"179",5
"180",3
"181",6
"182",5
"183",9
"184",3
"185",3
"186",6
"187",3
"188",5
"189",4
"190",8
"191",7
"192",5
"193",12
"194",15
"195",4
"196",6
"197",6
"198",5
"199",6
"200",7
"201",5
"202",8
"203",7
"204",7
"205",8
"206",6
"207",6
"208",4
"209",3
"210",8
"211",4
"212",8
"213",4
"214",4
"215",6
"216",6
"217",6
"218",9
"219",10
"220",6
"221",5
"222",6
"223",10
"224",6
"225",6
"226",5
"227",5
"228",6
"229",4
"230",6
"231",6
"232",4
"233",4
"234",3
"235",9
"236",4
"237",4
"238",5
"239",5
"240",3
"241",5
